Marche;Origine;Heure;Terminus;Heure
Ligne Marseille - Briançon;;;;
879707;Miramas - BV;06.08;Marseille-St-Charles - BV;07.37
879708;Marseille-St-Charles - BV;06.44;Miramas - BV;08.09
879711;Miramas - BV;06.34;Marseille-St-Charles - BV;08.02
879712;Marseille-St-Charles - BV;07.44;Miramas - BV;09.10
879715;Miramas - BV;07.08;Marseille-St-Charles - BV;08.37
879716;Marseille-St-Charles - BV;08.44;Miramas - BV;10.09
879719;Miramas - BV;07.34;Marseille-St-Charles - BV;09.02
879723;Miramas - BV;08.34;Marseille-St-Charles - BV;10.02
879724;Marseille-St-Charles - BV;10.52;Miramas - BV;12.16
879727;Miramas - BV;10.34;Marseille-St-Charles - BV;12.02
879728;Marseille-St-Charles - BV;12.49;Miramas - BV;14.16
879731;Miramas - BV;12.34;Marseille-St-Charles - BV;14.02
879732;Marseille-St-Charles - BV;14.15;Miramas - BV;15.43
879735;Miramas - BV;14.34;Marseille-St-Charles - BV;16.02
879738;Marseille-St-Charles - BV;16.23;Miramas - BV;17.51
879739;Miramas - BV;16.00;Marseille-St-Charles - BV;17.23
879740;Marseille-St-Charles - BV;16.40;Miramas - BV;18.16
879744;Marseille-St-Charles - BV;17.28;Miramas - BV;18.52
879745;Miramas - BV;16.44;Marseille-St-Charles - BV;18.10
879748;Marseille-St-Charles - BV;17.44;Miramas - BV;19.16
879749;Miramas - BV;17.44;Marseille-St-Charles - BV;19.13
879752;Marseille-St-Charles - BV;18.22;Miramas - BV;19.51
879755;Miramas - BV;18.44;Marseille-St-Charles - BV;20.12
879756;Marseille-St-Charles - BV;18.52;Miramas - BV;20.16
879760;Marseille-St-Charles - BV;19.52;Miramas - BV;21.16
Ligne Marseille - Aix en Provence;;;;
740014;Aix-en-Provence - BV;05.41;Pertuis - BV;06.05
880654;Aix-en-Provence - BV;06.11;Pertuis - BV;06.41
880107;Aix-en-Provence - BV;06.23;Marseille-St-Charles - BV;07.07
880109;Aix-en-Provence - BV;06.41;Marseille-St-Charles - BV;07.19
